fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
JUERGEN,,SCHNEIDER,,1951,2,13
HELMUT,,PETERS,,2007,9,3
STEFAN,,KLEIN,,1986,11,15
SVEN,,KRUEGER,,1965,8,19
DENNIS,,KRAUSE,,1997,8,15
WALTER,HEINZ,SCHREIBER,,1978,5,27
WOLFGANG,,RICHTER,,1980,2,7
GERHARD,,RICHTER,,1956,8,28
MICHAEL,,SCHROEDER,,1955,12,8
HOLGER,,MEYER,,1967,2,24
WOLFGANG,,WEISS,,1938,4,4
MAIK,,SCHMIDT,,1977,11,12
DIETER,,HOFFMANN,,1959,1,24
HERMAANN,,MUELLER,,1990,10,2
OTTO,,MAYER,,1958,2,15
RAINER,,HUBER,,1958,1,19
GERHARD,,SCHMIDT,,1957,11,17
HORST,THOMAS,SCHROEDER,,1936,5,10
THORSTEN,,MAYER,,1993,9,18
PETER,,SCHOLZ,,1982,9,12
STEFAN,,KUHN,,1939,10,23
MATTHIAS,,MOELLER,,1956,6,28
GERHARD,,SIMON,,1935,8,7
HARALD,,FUCHS,,1954,11,20
RUDOLF,,SCHMITZ,,2005,11,6
HEINZ,,MAOER,,1949,0,13
STEFAN,,HOFFMANN,,1934,4,1
SVEN,,BAUER,,1935,1,23
CHRISTIAN,,SCHMIDT,,1970,12,13
CHRISTIAN,,SCHROEDER,,1961,10,6
JUERGEN,,BRAUN,,2007,10,16
GERHARD,,WALTER,,1963,11,5
HELMUT,,SIMON,,1973,4,17
ANDREAS,,HOFFMANN,,1990,1,23
FRANK,,KRAUS,,1966,5,26
STEFAN,,BAUER,,1956,6,28
UWE,,JAEGER,,1960,10,23
RALF,,HUBER,,1964,10,13
KURT,,SCHMIDT,,1959,8,31
WERNER,,SIMON,,1971,4,29
MICHAEL,,BAUMANN,,1927,9,29
HANS,VOLKER,WAGNER,,1966,10,5
NORBERT,,SCHMIDT,,1935,6,16
HERMANN,,HORN,,1939,7,12
DIETER,,SCHAEFR,,1952,12,12
SVEN,,WINTER,,1993,6,16
GUENTHER,,KRUEGER,MARTIN,1976,11,16
CHRISTIAN,,MUELLER,,1939,4,3
HEINZA,,WINKLER,,1965,12,7
HEINZ,,BAUER,,2004,9,17
MARTIYN,,MAIRR,,2008,2,1
SVEN,,FISCHER,,1950,6,12
JUERGEN,,MEIER,,1952,8,13
HERMANN,,SCHMIDT,,1954,8,26
FRANK,,SCHULZ,,1959,5,18
CHRISTOPH,,GUENTHER,,1986,5,8
GERHARD,,WAGNER,,1950,5,30
CHRISTIAN,,BRAUN,,1967,6,27
MAIK,,MEYER,,1948,10,27
GUENTHER,,JUNG,,1955,11,6
STEFAN,HORST,BECK,,2007,9,22
PETER,,SCHNEIDER,,1940,1,16
HANS,,SCHNEIDER,,1941,12,17
WERNER,,SCHMITT,,1927,1,19
DENNIS,,SCHOLZ,,1983,7,24
DETLEF,,SCHULZ,,2000,8,12
CHRISTIAN,,MUELLER,,2005,12,12
BERND,,SCHMID,,1957,1,28
HEINRICH,CHRISTIAN,STEIN,,1946,6,29
ALEXANDER,,WALTER,,2008,11,7
GUENTHER,,BECKER,,1925,7,16
OLAF,,KAISER,,1941,9,3
THOMAS,,JUNG,,1987,2,9
JOACHIM,,SCHULZ,,1959,8,15
ROLF,WOLFGANG,KRAUSE,,1955,12,21
MAIK,,SCHMIDT,,1970,9,28
DANIEL,,SCHMIDT,,1964,11,15
JUERGEN,,MUELLER,,1929,8,26
MATTHIAS,,SCHNEIDER,,1953,3,18
OLAF,,WAGNER,,1997,6,12
JOERN,,KOCH,,1987,12,17
WOLFGANG,,JAEGER,,1952,6,5
RENE,,VOGT,,1964,1,6
DANIEL,,BAUER,,1965,3,20
JOERG,,KOCH,,2001,2,3
THORSTEN,,RICHTER,,1962,12,29
UWE,,SCHMIDT,,1982,11,26
HEINRICH,,MUELLER,,1985,6,14
SEBASTIAN,,SCHNEIDER,,2001,5,3
WERNER,,BECKER,,1994,9,21
RENE,,WALTER,,1952,3,24
RALF,,MEYER,,1971,2,26
JAN,,MUELLER,,1970,10,22
HORST,,WALTER,,1948,7,25
GUENTHER,,MEYER,,1978,5,17
OTTO,,POHL,,1938,6,5
CHRISTIAN,,HOFMANN,,1966,6,21
CARSTEN,,KOEHLER,,1969,12,14
OTTO,,HARTMANN,,2000,6,5
GUENTHER,,LORENZ,,1981,8,21
STEFAN,,SCHOLZ,,1962,1,30
MICHAEL,,KELLER,,1984,8,5
WOLFGANG,,HAAS,,1965,2,9
PHILIPP,,MUELLER,,1936,1,27
THORSTEN,,MOELLER,,1965,2,24
SVEN,,MUELLER,,1969,2,9
ANDREAS,,RICHTER,,1944,7,6
KURT,,BECKER,,1939,9,3
OLIVER,,MUELLRR,,1949,8,19
STEFAN,,SCHROEDER,,1929,8,17
DENNIS,,DIETRICH,,1944,2,24
JUERGUEN,,WAGNER,HOFFMANN,1970,2,25
CHRISTIAN,,FISCHER,,1935,10,6
HELMUT,JUERGEN,HUBER,,1986,12,29
ANDREAS,VOLKER,MAYER,,1964,4,11
REINHARD,,MUELLER,,1997,5,11
MARTIN,,SCHUBERT,,1948,11,20
ANDRE,,FRANKE,,2007,6,23
JOACHIM,,BRAUN,,1943,12,27
MATTHIAS,,MAYER,,1967,2,5
GUENTHER,OLAF,SCHMIDT,,1967,3,26
BERND,,HOFMANN,,1950,1,4
NILS,,BECKER,,1942,11,3
JOHANNES,,SCHAEFER,,1952,8,7
GUENTHER,,SCHMIDT,,1963,7,12
WILHELM,,WINTER,,1962,7,15
STEFAN,,SCHNEIDER,,1966,4,23
WOLFGANG,,SCHMIDT,,1975,7,1
UWE,,LUDWIG,,1936,2,22
ERNST,,SCHULZ,,1926,6,2
MARTIN,,KRAUS,,1986,7,9
BERND,,MAIER,,1930,4,17
WALTER,,JUNG,,1996,10,26
MANFRED,,BERGMANN,,1964,10,15
BERND,,MUELLER,,2003,9,8
ANDREAS,,WAGNER,,1944,1,26
SVEN,,SCHMIDT,,1935,12,15
GUENTHER,,WEBER,,1960,7,6
MICHAEL,,BECKER,,1942,3,26
MICHAEL,,SCHMITZ,,2002,5,10
BERND,,BECKER,,1944,7,18
HERMANN,,WOLF,,1955,1,30
THOMAS,,BAUER,,1931,3,25
JOERG,,KRAUSE,,1984,4,11
HEINZ,,GROSS,,1940,8,16
PETER,,SEIDEL,,1961,10,26
STEFAN,,SCHWARZ,,1963,10,29
ROBEFRT,,WEBEE,,1926,6,16
HANS,,SCHMID,,1963,2,25
STEFAN,UWE,WAGNER,,1936,10,25
OLIVER,,SCHAEFER,,1977,9,1
ANDRE,,SCHULZE,,2000,10,29
WERNER,,WALTER,,2002,12,31
HARALD,,PETERS,,1966,4,16
KLAUS,,SCHULZ,,1927,4,25
KARL,,HOFFMANN,,1985,2,11
JAN,,MAYER,,1957,2,6
ERNST,,WOLFF,,1943,9,26
RALF,,HAHN,,1997,2,7
RAINER,,MUEGLLER,,1961,7,6
GERHARD,,WALTER,,1979,12,3
MATTHIAS,,KOERTIG,,1954,9,11
MICHAEL,,ALBRECHT,,1963,11,22
WOLFGANG,HANS,HAHN,,1967,8,11
FRANK,,LEHMANN,,1951,8,18
WERNER,,LUDWIG,,1937,12,21
CHRISTIAN,,HORN,,1950,7,13
PETER,,KOERTIG,,1991,4,27
MARCO,,LEHMANN,,1944,7,18
THOMAS,,STEIN,,1938,12,19
MANFRED,,SCHMITT,,1931,7,15
MANFRED,,WERNER,,1954,3,14
OLIVER,,ZIMMERMANN,,1960,11,13
HORST,,SCHMIDT,,1952,9,27
THOMAS,,SCHMIDT,,1971,5,9
MICHAEL,,SCHWARZ,,1972,3,27
KARL,,MAIER,,1964,11,29
MANFRED,,WEBER,,1934,2,9
SVEN,,KRUEGER,,1992,1,22
HEINZ,,POHL,,1992,8,6
HANS,,SCHULTE,,1964,10,1
ROBERT,,SCHROEDER,,2001,12,64
JOACHIM,,MARTIN,,2006,5,28
HEINRICH,CHRISTIAN,STEIN,,1946,6,28
OLIVER,,SCHREIBER,,1957,5,15
PETER,,GROSS,,1980,4,21
PETER,,WINKLER,,1986,12,14
HARALD,,BAUER,,1986,1,5
THOMAS,,ROTH,,1973,3,25
ANDREAS,,SCHULTE,,1962,2,18
KLAUS,,SCHROEDER,,1969,7,29
ANDRE,,SCHREIBER,,1981,9,23
HEINRICH,,WEBER,,2008,5,30
ROBERT,,LANG,,1946,8,16
STEFAN,,ENGEL,,1951,10,15
CHRISTIAN,,MUELLER,,1973,5,25
HERMANN,,RICHTER,,1995,1,31
ALFRED,,FISCHER,KOEHLER,1939,11,10
PAUL,,LEHMANN,,1968,5,27
THORSTEN,,MUELLER,,1969,9,9
MATTHIAS,,HUBER,,1955,12,10
MARCO,,HUBER,,1942,12,27
KLAUS,,SCHROEDER,,1993,12,29
CHRISTIAN,,GROSS,,1932,12,7
HOLGER,HEINRICH,FUCHS,,1929,12,2
CHRISTIAN,RENE,DIETRICH,,1952,7,12
MICHAEL,,WALTER,,1970,7,2
JOACHIM,CHRISTIAN,WAGNER,,1999,12,8
ULRICH,,SCHMITT,,1961,3,22
RALF,,WALTER,,1966,7,21
GUENTHER,HELMUT,BRAUN,,1950,19,5
JAN,,SAIER,,1939,9,22
GUENTHER,,ERNST,,1966,11,21
WOLFGANG,,MOELLER,,1965,5,22
PETER,,HOFFMANN,,1974,1,26
UWE,,KAISER,,2003,3,19
MICHAEL,,MUELLER,,1975,3,9
MANFRED,,HUBER,,1933,1,23
VOLKER,,SCHOLZ,,1976,9,8
WILHELM,,LEHMANN,,1937,10,4
ANDREAS,,ZIMMERMANN,,1967,11,28
MATTHIAS,,BRAUN,,1943,9,7
HORST,GERGARD,KOCH,,1957,2,6
CARSTEN,,FUCHS,,2005,8,4
WERNER,MICHAEL,HUBER,,1994,2,8
GUENTHER,,SCHMIDT,,1947,3,25
CHRISTIAN,,HOFFMANN,,1968,8,20
OLAF,,SCHNEIDER,,1981,11,18
OLIVER,,KRAUSE,,1993,10,21
WILHELM,,BRAUN,,1996,3,17
HELMUT,,SCHNEIDER,,1939,1,20
NILS,,WEBER,,1944,10,28
NORBERT,,SCHULTE,,1990,5,23
HANS,,MEYER,,1973,9,10
PETER,,SCHMIDT,,1979,1,8
WILHELM,,MUELLER,,1986,2,2
ANDREAS,,MAYER,,1961,8,7
PETEIR,,KOEHLER,,1952,10,17
HELMUT,,MAYER,,1965,7,23
THOMAS,,BOEHM,,1964,1,10
ERNST,,BRAUN,,1964,7,26
PETER,,KRAUS,,1957,6,3
JUERGEN,,MUELLER,,1985,6,23
THORSTEN,,KOCH,,1939,13,19
ALEXANDER,,ROTH,,1934,12,1
THORSTEN,,KRUEGER,,1940,8,20
HERMANN,,LORENZ,,1953,10,17
THOMAS,,SCHAEFER,,1948,8,2
ANDRE,,SCHNEIDER,,1934,4,11
MICHAEL,,MUELLER,,1973,3,2
MANFRED,,HARTMANN,,1996,8,22
THOMAS,,SCHNEIDER,,1997,1,20
KLAUS,,SCHMIDT,,1994,1,31
PAUL,,MARTIN,,2008,2,26
UWE,THOMAS,GROSS,,1963,12,18
THOMAS,,SCHMID,,1993,3,5
ANDREAS,,WEBER,,1967,2,21
ERWIN,ROLF,ZIMMERMANN,,1995,10,28
PETER,,HARTMANN,,1957,2,19
MICHAEL,,WEBER,,1962,11,10
JUERGEN,,WOLFF,,1939,7,24
ANDREAS,,KRUEGER,,1967,13,10
KLAUS,,BAUER,,2000,5,15
MICHAEL,,SCHMIDT,,1944,5,20
FRANK,,FRANKE,,1929,5,17
STEFAN,,BAUER,,2004,12,19
ROELF,,SCHAEFER,,1939,7,22
STEFAN,,HUBER,,1933,5,27
WILHELM,,SCHMIDT,,1952,5,15
SVEN,PETER,WEBER,,1964,11,17
WOLFGANG,,WEISS,,1943,12,13
DANIEL,,HOFMANN,,1978,11,15
ANDREAS,,MAYER,,1940,6,21
WERNER,,MOELLER,,1946,6,7
PETER,,MUELLER,,1950,4,2
WOLFGANG,,MEYER,,1977,10,2
PETER,UWE,KLEIN,,1962,4,25
HEIKO,,SCHNEIDER,,1931,8,24
PETER,,ALBRECHT,,1941,2,15
JOACHIM,,SCHULZ,,1947,4,10
JOACHIM,,SCHMIDT,,1986,4,23
ALEXANDER,,BAUMANN,,1957,9,7
HANS,,WALTER,,1964,4,12
HARALD,,JUNG,,1952,8,28
HORSST,,KUHN,,1959,12,4
STEFAN,,PETERS,,1999,5,14
WALTER,,HOFFMANN,,1968,1,22
WILHELM,,LUDWIG,,1997,3,23
BERNHD,,KRUEGER,,1968,5,17
CARSTEN,,MARTIN,,1990,3,2
JOERG,,WERNER,,1961,7,22
NORBERT,,BERGMANN,,1964,5,14
JENS,,SCHNEIDER,,1963,7,28
MARTIN,,BECKER,,1931,9,23
SIEGFRIED,ANDREAS,BRAUN,,1955,2,8
MICHAEL,,HOFMANN,,1931,7,1
JAN,,BECKER,,1984,3,28
WERNMER,,KUEHN,,1977,6,23
STEFAN,,MAYER,,1950,9,24
GERHARD,,LANGE,,1961,3,8
FRANK,,HAAS,,1957,3,9
FLORIAN,,MEIER,,2002,1,9
ALFRED,,ZIEGLER,,1946,4,11
STEFAN,,SCHULTE,,1995,3,22
HEINZ,,FISCHER,,1980,4,26
ANDREAS,,HEINRICH,,1947,9,6
HELMUT,,KLEIN,,1968,3,27
ANDREAS,,KLEIN,,1931,4,24
MANFRED,,MUELLER,,1927,3,20
HORST,,FISCHER,,1939,6,17
GERHARD,,BECKER,,1957,4,27
FRANK,,BAUER,,1996,4,16
UWE,,MAIER,,1935,2,28
CARSTEN,,SCHNEIDER,,1944,1,22
CARSTEN,,HARTMANN,,1962,2,18
THORSTEN,HEINZ,HUBER,,1947,12,26
KLAUS,,FISCHER,,1988,1,16
NILS,,LEHMANN,,1948,8,29
MARTIN,,MUELLDR,,1977,5,27
HEINZ,,HARTMANN,,1937,7,20
HORST,,MEYER,,1991,7,12
CARSTEN,,SCHAEFER,,2006,1,27
OLIVER,,FRANKE,,1944,9,14
MARTIN,,WEBER,,1929,9,20
KAI,,BRAUN,,1993,4,25
HELMUT,,MEYER,,1953,5,3
STEFAN,,BECKER,,2005,12,15
GERHARD,,KLEIN,,1931,5,16
MICHAEL,,HERRMANN,,2006,7,17
MARIO,,KAISER,,2006,9,17
JUERGEN,,PETERS,,1976,9,1
UWE,ANDREAS,POHL,,1999,4,27
ANDREAS,KLAUS,MEYER,,1982,5,23
SVEN,,SCHNEIDER,,1928,5,20
SVEN,,SCHWARZ,,1980,6,2
JUERGEN,,ERNST,,1950,6,18
DIETER,,SCHAEFER,,1952,12,12
GUENTHER,,THOMAS,,2004,2,17
THORSTEN,,BRAUN,,1946,2,13
HANS,,WEBER,,2008,5,23
FRIEDRICH,,MEYER,,1986,7,6
MANFRED,,MEYER,,1972,6,13
JOACHIM,,ENGEL,,1948,6,18
JUERGEN,,SCHMITZ,,1949,9,28
UWE,,LANG,,1973,10,31
JAN,,MARTIN,,1958,6,19
SEBASTIAN,,KRAUSE,,1989,1,6
MARTIN,,KOCH,,1944,11,30
DETLEF,,BUSCH,,1967,4,18
GERHARD,,WALTER,,1972,5,30
HERBERT,,BAUER,,2008,8,20
CARSTEN,,WAGNER,,1934,4,21
KLAUS,,WAGNER,,1955,6,23
WERNER,,FRANK,,1989,6,3
HELMUT,,RICHTER,,1941,5,21
JUERGEN,,MUELLER,,1956,3,7
ANDREAS,,SCHMITT,,1961,8,24
GERD,,HOFFMANN,,1992,0,8
ANDREANS,KARL,HOFMANN,,1954,12,19
ROLF,,MUELLER,,2000,4,29
MANFRESD,,FUCHS,,1956,7,18
PAUL,,SCHMITZ,,2004,7,15
WOLFGANG,,SCHMITZ,,1983,12,16
MICHAEL,DIETER,SCHAEFER,,1990,6,5
ANDREAS,BERND,KOEHLER,,2000,1,2
JOERG,,ZIMMERMANN,,1961,7,4
HERMANN,,KAISER,,1967,2,7
HEINZ,,SCHWARZ,,1968,9,30
GERHARD,WERNER,SCHULZ,,1937,10,20
MICHAEL,,KRUEGER,,1942,6,11
JUERGEN,,ZIMMERMANN,,1971,2,9
THOMAS,,HOFFMANN,,2007,12,13
GERD,,SCHAEFER,,1963,1,11
OLAF,,BECK,,1975,1,31
JAN,,SCHAEFER,,1957,1,24
CHRISTIAN,,KRUEGER,,1933,8,15
DIETER,,MEYER,,1953,12,17
KLAUS,HEINRICH,KUHN,,1986,3,26
JOERG,,WEBER,,1999,6,13
DIETER,,JAEGER,,2008,3,26
HOLGER,,STEIN,,1959,10,13
GUENTHER,ULRICH,SCHROEDER,,2008,11,3
BERND,,KOCH,,2007,8,17
HELMUT,,LANGE,,1994,3,17
PETER,,FRANK,,1990,5,2
STEFAN,,KRUEGER,,1939,8,29
CHRISTIAN,,KLEIN,,1954,5,15
KURT,,FRIEDRICH,,1967,6,20
HERMANN,,HEINRICH,,2003,11,17
HEINRICH,,MUELLER,,2002,1,10
ANDREAS,,BECK,,1969,7,9
OLAF,,HOFFMANN,,1931,6,9
KLAUS,,BRAUN,,1934,11,25
GEORG,,HOFFMANN,,1928,8,5
WOLFGANG,,FISCHER,,1967,2,26
BERND,,SCHAEFER,,1952,9,9
HORST,,FRIEDRICH,,1996,6,19
MICHAEL,HARALD,KOEHLER,,1948,10,27
MAWIK,,BERGER,,1978,6,13
RUDOLF,,THOMAS,,1995,7,22
HERMANN,,KOCH,,1925,7,7
GUENTHER,KURT,LANGE,,1986,1,7
HERMANN,,WEBER,,1958,4,22
KLAUS,,MEYER,,1946,10,21
MATTHIAS,,BECKER,,1940,7,17
FRANK,,KRUEGER,,1952,8,5
HELMUT,,MEYER,,1960,12,19
WERNER,,SCHMIDT,,1965,10,19
RAINER,,WEBER,,1995,3,22
KLAUS,,THOMAS,,1997,1,8
MARTIN,,ERNST,,1942,5,15
WERNER,,SCHULZ,,1959,6,23
WOLFGANG,,SCHULZE,WINTER,1931,9,18
WERNER,,SCHMIDT,,1953,8,24
JENS,,SCHMIDT,,1995,12,20
OTTO,,SCHMITZ,,1942,2,11
JAN,,MUELLER,,1988,3,20
MAIK,,SCHULZE,,1961,1,15
FRANK,,LEHMANN,,1952,8,18
HEINZ,,SCHROEDER,,1945,5,4
OLIVER,,HERRMANN,,1934,2,9
GERHARD,,HOFFMANN,,1960,8,25
GUENTHER,,MARTIN,,1968,5,16
UWE,,SCHULZ,,1962,5,27
JAN,,WOLFF,,2008,9,17
RAINER,THORSTEN,WERNER,,1939,10,17
STEFAN,,SCHWARZ,,1963,10,26
BERNHARD,,ZIEGLER,,1926,7,26
RALF,,BRAUN,,1943,10,20
HEINRICH,,MUELLER,,1977,12,26
HORSZT,,SCHWARZ,,9185,10,14
DIETER,,BAUER,,1979,5,22
JAN,,WERNER,,1955,10,19
THOMAS,,MUELKER,,1962,12,12
GERHARD,,SCHMIDT,,1974,2,19
HEINZ,,MUELLER,,1946,3,28
FRANK,,SCHROEDER,,1952,4,18
OLAF,,HARTMANN,,1974,1,15
VOLKER,,RICHTER,,1960,8,18
PETER,,SCHNEIDER,,1956,3,4
MARCEL,,NEUMANN,,1931,9,21
MATTHIAS,,MEIER,,1985,12,30
CHRISTOPH,,SCHMIDT,,2001,12,24
RALF,,MEYER,,1978,8,25
SVEN,,MUELLER,,1950,3,16
SVEN,,WERNER,,1978,12,27
DIRK,,SCHUBERT,,1981,4,25
CHRISTOPH,,MEIER,,1985,6,22
JUERGEN,,MEYER,,1976,5,15
JUERGEN,,LANGE,,1969,5,25
OTTO,,FRIEDRICH,,1944,7,3
JUERGEN,,SCHMITT,,2001,11,24
MARCO,,KRUEGER,,1981,6,21
WERNER,,JAEGER,,1960,11,25
UWE,,HARTMANN,,2007,8,22
FRANK,,JUNG,,1976,1,29
DENNIS,,LANGE,,1998,5,15
RAINER,,FISCHER,,1979,10,26
KLAUS,PETER,SCHMID,,2007,11,27
UWE,,MUELLER,,1965,7,2
HERMANN,,KUHN,,1985,7,4
HORST,,FRANK,,1942,2,24
JUERGEN,,SCHMID,,1943,9,3
KLAUS,,SCHWARZ,,1975,12,11
SIEGFRIED,,MOELLER,,1942,1,19
ANDREAS,,SEIDEL,,2005,6,30
ERICH,,MEIAR,,1974,5,3
KLAUS,,SEIDEL,,1979,8,21
ANDRE,,FISCHER,,1976,8,29
WERNER,,DIETRICH,,1934,1,24
HERMANN,GERHARD,HUBER,,2007,5,8
MARK,,BRAUN,,1962,1,26
JUERGEN,,BECKER,,1946,7,13
RAINER,,VOGEL,,2003,11,17
RAINER,,BAUER,,1989,4,20
PETER,,MUELLER,,1937,8,10
RAINER,JUERGEN,SCHMIDT,,1932,8,19
WOLFGANG,,ROTH,,1986,12,13
UWE,,KRAUSE,,2007,6,10
KLAUS,THOMAS,MUELLER,,1960,3,16
GERHARD,,WEBER,,1996,1,20
GERD,ANDREAS,SCHMIDT,,1966,1,4
THOMAS,,SCHMIDT,,2006,3,30
MICHAEL,,KELLER,,1984,8,4
JOERG,,KOEHLER,,1971,5,26
RUDOLF,,MUELLER,,1926,11,15
JENS,JUERGEN,BOEHM,,1930,12,17
HANS,,KELLER,,1945,11,11
STEFAN,,WALTER,,1944,9,24
STEFAN,,KOEHLER,,1985,1,12
MARTIZN,OLAF,SCHULZE,,1942,7,5
WERNER,,SCHULTE,,1996,5,29
HEINZ,,MUELLER,,1990,12,29
DIRK,THORSTEN,LANGE,,1979,12,5
VOLKER,,ALBRECHT,,1968,9,28
THORSTEN,OLIVER,SCHULZ,,1983,9,20
THOMAS,,WINKLER,,1949,7,28
WERNER,,MUELLER,,1930,9,8
WERNER,,VOIGT,,1969,1,8
HARALD,,BERGER,,1973,4,2
FRANK,,MAYER,,1979,7,4
PETER,,WEISS,,1971,5,21
ANDREAS,,SCHNEIDER,,1944,8,30
OLAF,,GROSS,,1997,3,12
HELMUT,,HOFFMANN,,1981,7,21
HOLGER,,JUNG,,1986,5,19
HERBERT,,SCHUBERT,,1953,10,22
MANFRED,,KELLER,,1967,7,29
WOLFGANG,,WEBER,,1996,9,9
INGOT,,GUENTHER,,1966,1,26
OLIVER,STEFAN,SCHWARZ,,1966,2,14
CHRISTIAN,,SCHMODT,,1946,2,9
JOERG,,WOLF,,1966,12,14
ULRICH,,LANG,,1988,7,14
GERD,,HEINRICH,,1982,10,18
STEFAN,STEFAN,HERRMANN,,1998,3,30
LARS,,WERNER,,1968,11,12
UWE,,SIMON,,1959,2,3
STEFAN,,WINKLER,,1969,7,8
PAUL,,SCHMITZ,,1972,2,16
STEFAN,RALF,SCHUMACHER,,1982,1,5
MARKUS,,NEUMANN,,1970,3,8
PETER,,BAUER,,1969,5,26
MATTHIAS,,KUEHN,,2003,7,4
JUERGEN,,SCHMITZ,,1964,5,22
PETER,,MUELLER,,1959,11,25
HORST,,HUBER,,1932,8,24
DIETER,,SCHNEIDER,,2000,4,27
AXEL,,KLEIN,,1960,9,10
DANIEL,,MEYER,,1948,2,11
MICHAEL,,SCHMDT,,1984,7,8
SIEGFRIED,,BRAUN,,1991,6,10
NILS,,BECK,,2001,3,29
RALF,,MEYER,,1954,8,4
JOERG,,KLEIN,,1965,12,4
STEFAN,,KUHN,,1966,11,10
SVEN,,SCHMITT,,1968,12,14
TOBIAS,ALFRED,FRIEDRICH,,1990,7,22
KLAUS,,BECKER,,1966,11,2
CHRISTIAN,,ENGEL,,1932,5,12
KLAUS,,FISCHER,,1964,12,7
ULRICH,,KRUEGER,,1977,11,16
JOACHDIM,,KLEIN,,1982,6,24
JENS,,BECKER,,1933,10,5
ALEXANDER,,SOMMER,,1946,1,5
JUERGEN,,HOFFMANN,,1933,7,7
MATTHIAS,,LEHMANN,,1967,11,8
FRITZ,,KELLER,,1980,4,11
HANS,,SCHMIC,,1963,2,25
JUERGEN,,HAAS,,2002,11,1
DIETER,,MUELLER,,1955,8,30
GUENTHER,,KAISER,,1977,1,25
WERNER,,ZIEGLER,,1966,8,4
JENS,,SCHMIDT,,1979,3,27
DIRK,,MEYER,,2007,12,15
JUERWGEN,,KELLER,,1950,9,5
THOMAS,,WINKLER,,1956,11,5
FRANK,,SCHNEIDER,,1967,10,25
GUENTHER,,KOCH,,1954,1,26
HELMUT,,LUDWIG,,1971,4,14
MICHAEL,,SCHNEIDER,,1970,5,21
CARSTEN,,HARTMANN,,1942,4,13
GUENTTHER,,HOFFMANN,,1942,11,11
CARSTEN,,BAUMANN,,1953,3,8
WOLFGANG,,MUELLER,,1986,10,10
HORST,MATTHIAS,NEUMANN,,1963,1,5
MICHAEL,THORSTEN,SCHMIDT,,1935,1,18
ERICH,,RICHTER,,1997,1,30
PAUL,,MAIER,,1930,6,19
MATTHIAS,,SCHAEFER,,1991,9,3
MICHAEL,,SIMON,,1940,10,24
MARKUS,,KRAUSE,,1928,2,5
JENS,,DIETRICH,,1968,5,24
PAUL,,MAIER,,1947,6,11
MAIK,,FISCHER,,1940,8,29
MANFRED,,WALTER,,1938,5,25
WOLFGANG,,KLEIN,,1972,12,20
KLAUS,,HOFFMANN,,1960,12,1
OLIVER,,SCHAEFER,,1970,11,6
JUERGEN,,KRAUS,,1962,11,7
MATTHIAS,,HUBER,,1988,8,26
